objectid,Geographic ID,State FIPS,County FIPS,Census Tract,Total Population,Total Population for Income,Total Civilian Population,Total Households,Total Families,Total Over 5 Population,Total Over 75 Population,People of Color Population,Single-Parent Family Population,Limited English Proficiency Population,Low-Income Population,Disabled Population,Rent-Burdened Population,Zero-Vehicle Household Population,Percent Over 75,Percent People of Color,Percent Single-Parent Family,Percent Limited English Proficiency,Percent Low-Income,Percent Disabled,Percent Rent-Burdened,Percent Zero-Vehicle Household,Over 75 Reg Mean Plus Half SD,People of Color Reg Mean Plus Half SD,Single-Parent Family Reg Mean Plus Half SD,Limited English Proficiency Reg Mean Plus Half SD,Low-Income Reg Mean Plus Half SD,Disabled Reg Mean Plus Half SD,Rent-Burdened Reg Mean Plus Half SD,Zero-Vehicle Household Reg Mean Plus Half SD,PBA 2035 Equity Priority Community,PBA 2040 Equity Priority Community,PBA 2050 Equity Priority Community,Change PBA 2040 to 2050,Equity Priority Community Class,Shape__Area,Shape__Length
1687,06001409100,06,001,409100,2327,2306,2327,671,446,2157,102,2293,152,302,954,297,115,163,0.0438332617103567,0.985388912763214,0.340807174887892,0.140009272137228,0.413703382480486,0.127632144391921,0.171385991058122,0.242921013412817,0,1,1,1,1,1,1,1,1,1,1,0,Higher,4.9309241148876E-05,0.0301735254913154
1688,06001409200,06,001,409200,3577,3564,3572,949,763,3354,131,3428,158,504,1560,402,244,59,0.0366228683254124,0.958344981828348,0.207077326343381,0.150268336314848,0.437710437710438,0.112541993281075,0.257112750263435,0.0621707060063224,0,1,1,1,1,0,1,0,1,1,1,0,Highest,7.46889818401542E-05,0.0390279686529292
1689,06001409300,06,001,409300,5433,5424,5416,1647,1101,4892,220,5110,338,850,2970,856,305,227,0.0404932817964292,0.94054849990797,0.306993642143506,0.173753066230581,0.547566371681416,0.158050221565731,0.185185185185185,0.137826350941105,0,1,1,1,1,1,1,0,1,1,1,0,Highest,0.000110447092993127,0.0457888739894495
1690,06001409400,06,001,409400,5022,4966,5022,1252,919,4543,83,4806,244,1187,2794,543,264,98,0.0165272799681402,0.956989247311828,0.26550598476605,0.261281091789566,0.562625855819573,0.108124253285544,0.210862619808307,0.0782747603833866,0,1,1,1,1,0,1,0,1,1,1,0,Highest,0.000127108198739734,0.0513600496899265
1691,06001409500,06,001,409500,4272,4264,4272,1147,825,3855,65,4077,281,593,2657,364,325,213,0.0152153558052434,0.95435393258427,0.340606060606061,0.153826199740597,0.62312382739212,0.0852059925093633,0.283347863993025,0.185701830863121,0,1,1,1,1,0,1,1,1,1,1,0,Highest,8.60567520248878E-05,0.0458625016003529
1692,06001409600,06,001,409600,5188,5183,5183,1446,1110,4916,143,5050,339,1204,3049,618,219,172,0.0275636083269083,0.973400154202005,0.305405405405405,0.244914564686737,0.588269342079876,0.119235963727571,0.151452282157676,0.118948824343015,0,1,1,1,1,0,1,0,1,1,1,0,Highest,7.57818884267181E-05,0.0365821650434308
1693,06001409700,06,001,409700,5183,5149,5166,1534,1090,4774,97,5022,335,818,2545,609,318,243,0.0187150299054602,0.968936909125989,0.307339449541284,0.17134478424801,0.494270732181006,0.117886178861789,0.207301173402868,0.158409387222947,0,1,1,1,1,0,1,1,1,1,1,0,Highest,8.34910961202695E-05,0.03816471428656
1694,06001409800,06,001,409800,3519,3501,3514,1308,859,3282,193,2848,274,125,1050,630,219,245,0.0548451264563797,0.809320829781188,0.318975552968568,0.0380865326020719,0.299914310197087,0.179282868525896,0.16743119266055,0.187308868501529,0,1,1,0,1,1,1,1,1,1,1,0,High,0.000183537202246953,0.0672956672352578
1697,06001410100,06,001,410100,2674,2674,2674,1053,634,2524,111,2280,130,99,906,417,103,96,0.0415108451757666,0.852655198204936,0.205047318611987,0.0392234548335975,0.338818249813014,0.155946148092745,0.0978157644824312,0.0911680911680912,0,1,1,0,1,1,0,0,1,1,1,0,High,8.09737884992501E-05,0.0454011681812022
1698,06001410200,06,001,410200,3399,3399,3399,1151,771,3065,160,3239,344,378,1499,312,261,224,0.0470726684318917,0.952927331568108,0.446173800259403,0.123327895595432,0.441012062371286,0.0917917034421889,0.226759339704605,0.194613379669852,0,1,1,1,1,0,1,1,1,1,1,0,Highest,6.0079908962507E-05,0.0429866497016859
